latitude,longitude,station_code,Accuracy
42.86555427777778,-112.43174653888889,idpo,0.21
45.74639881111111,-108.60020454444444,mtei,0.04
44.082770333333336,-103.22564928888889,sdrc,0.23
33.535414141666664,-101.84282287777778,txlu,0.04
37.786672075,-97.62574775277777,ict5,0.46
37.34604215277778,-92.95044875277777,momf,0.21
32.367506122222224,-88.73243861944445,msme,0.31
40.495633975000004,-88.999850525,blom,0.49
41.22952535277778,-80.24494945833334,pamm,0.27
40.63914601111111,-76.15827222222222,pass,0.07
43.68112993055556,-70.45103453611111,mego,0.15
35.31105322222222,-81.18876147222223,gast,0.40
32.90343141666666,-80.66840939166667,scwt,0.65
26.84628838611111,-80.21925002222223,pbch,0.20
26.590974444444445,-81.86415889722221,fmyr,0.06
41.10452630277778,-104.77535916944444,wylc,0.42
